#==================================
# GB18030-2022 擴充 C/D/E/F 生僻字（簡體繁體共用讀音檔，分欄格式比照 char-kanji-cns.txt）。
# -------------------
# 格式順序是：字符＆對應讀音。詞頻欄位已省略（本區段資料無語料詞頻可考，頻次不重要）。
# 編碼統一使用 UTF8 萬國碼；注音的轻声记号一律写在右侧。
# 每一行的每一項之間必須用單個半形空格來隔開，行尾不要留空格。
# 注釋必須在單獨的行內、且由西文井號字符開行頭。
# ------------------
# 讀音來源：char-kanji-cns.txt（CNS11643 全字庫，2026-08-10 版）已收錄者沿用之；
# 其餘以 Unicode Unihan kMandarin 拼音自動轉換為注音，轉換結果未經人工複核。
# 本檔於 2026-09-05 自 char-kanji-core.txt 之「#@@GB18030-2022 生僻字補充區」遷出，
# 並於同日改為 CNS 兩欄格式；收錄擴充 C/D/E/F 全區尚未被既有字庫涵蓋者。
#==================================

𪜀 ㄉㄥˇ
𪜁 ㄐㄧㄝˊ
𪜂 ㄨㄚˇ
𪜃 ㄍㄚ
𪜄 ㄆㄛˇ
𪜅 ㄕㄣ
𪜆 ㄌㄧㄢˇ
𪜇 ㄧㄢˋ
𪜈 ㄊㄨㄛ
𪜈 ㄓㄜˊ
𪜉 ㄆㄧㄥˊ
𪜊 ㄓ
𪜋 ㄓㄨˇ
𪜌 ㄋㄞˇ
𪜍 ㄑㄧㄢ
𪜎 ㄑㄧㄠˋ
𪜏 ㄒㄧㄥˋ
𪜐 ㄏㄨㄚˋ
𪜑 ㄇㄛˋ
𪜒 ㄐㄧˊ
𪜓 ㄐㄧㄢˋ
𪜔 ㄑㄩ
𪜔 ㄑㄩˇ
𪜕 ㄉㄨˇ
𪜖 ㄒㄩㄣˋ
𪜗 ㄏㄨㄛˋ
𪜘 ㄆㄛˋ
𪜙 ㄇㄡˇ
𪜚 ㄇㄟˊ
𪜛 ㄅㄨˋ
𪜜 ㄅㄟˋ
𪜝 ㄑㄧˊ
𪜞 ㄓㄣ
𪜟 ㄕㄨˊ
𪜠 ㄎㄤˋ
𪜡 ㄇㄤˊ
𪜢 ㄐㄧㄡˋ
𪜣 ㄍㄨㄣˇ
𪜤 ㄧㄢˋ
𪜥 ㄌㄧㄣˇ
𪜦 ㄊㄧㄥˊ
𪜧 ㄧˊ
𪜨 ㄋㄧㄥˋ
𪜩 ㄍㄡ
𪜪 ㄒㄩㄥ
𪜫 ㄔㄡˇ
𪜬 ㄩˊ
𪜭 ㄍㄜˋ
𪜮 ㄇㄨˋ
𪜯 ㄌㄧㄥˋ
𪜰 ㄏㄜˊ
𪜱 ㄩˊ
𪜲 ㄔˋ
𪜳 ㄇㄧㄢˊ
𪜴 ㄏㄨㄥˊ
𪜵 ㄧˋ
𪜶 ㄧㄣ
𪜷 ㄉㄨㄛˇ
𪜸 ㄗˋ
𪜹 ㄩˇ
𪜺 ㄓㄡ
𪜻 ㄔˋ
